Bus,busdistances
b2372,0.3066263593897954
b2592,0.30903767312150743
b1998,0.30970680708180737
b3378,0.31241021690130744
b1362,0.3153079942845954
b2108,0.3153318880306074
b3292,0.3167504164620954
b2872,0.3168266382350954
b3236,0.31844984905450735
b858,0.32067713312249535
b314,0.32219507433219535
b61,0.3225023815851954
b2283,0.3242375805210274
b2665,0.32786387033469533
b1315,0.32818311442445736
b1416,0.32852259607600737
b3051,0.33259215406229536
b2510,0.3329243558214954
b907,0.3330881629138954
b2040,0.3332932179974954
b1733,0.3345688872800074
b519,0.33804985343580735
b2810,0.3396646978822674
b1905,0.34237773771330743
b337,0.3443049730787954
b3294,0.3451638419433074
b768,0.34629901778410743
b533,0.34884578945030736
b1630,0.34982148524964535
b1725,0.3511954211942073
b2815,0.3522382589504074
b2137,0.35413933557898536
b1632,0.35486415524159537
b3111,0.35658854273390733
b3277,0.35738854273390736
b2799,0.35981975027350743
b1956,0.36164364704758734
b2753,0.3618065871743954
b2347,0.3623876688557954
b1572,0.36634114318603733
b2321,0.36672927390650734
b3153,0.36753670989522536
b1269,0.3680657685412654
b1837,0.3718300399491954
b798,0.3720426478353954
b3005,0.37296491414849536
b1053,0.37604911893340737
b1164,0.37899298345970733
b951,0.38235212519149536
b541,0.38559637450332734
b794,0.38671980467240735
b1790,0.38680530921060735
b964,0.3871762018381954
b810,0.3894238120195073
b847,0.38947004560920734
b58,0.39120919306480734
b2868,0.39224903148740536
b95,0.3938922714930074
b1855,0.3944713581730074
b1865,0.3949535563623954
b1718,0.39591008783265735
b699,0.3966090385598654
b1059,0.39662339122728735
b938,0.4000805288141074
b1834,0.4001720863973954
b2779,0.4045770560922774
b191,0.40520389539920737
b3303,0.40576468800722537
b310,0.40739303203469535
b2789,0.40840786707710736
b2249,0.4090665385846074
b941,0.4100924351266354
b1502,0.4133527899319074
b926,0.41859269523910736
b2955,0.4186808737505074
b100,0.42410921116998734
b2018,0.42559430335219534
b3406,0.42646939545399537
b1852,0.4266121003588474
b3057,0.42737176265579535
b1244,0.42898565706160735
b237,0.42910118600130737
b2717,0.43068064243294535
b3269,0.43094608142090735
b3070,0.4323471484575753
b2431,0.4333742696391074
b1634,0.43341090337769533
b2618,0.43398352136399543
b2564,0.43553958555161537
b2266,0.4386616364004954
b2737,0.4415557927841074
b1968,0.4450584822723954
b2669,0.44718548352079535
b326,0.44821771265560734
b2174,0.4502519958604073
b1119,0.45771249176030737
b2297,0.4665189943479954
b1590,0.4763779991578074
b578,0.4768186247682954
b2417,0.4771758138095954
b1503,0.4844006086591953
b3240,0.4845679788093954
b276,0.4947908590970954
b204,0.5057645900930954
b402,0.5063601079787954
b742,0.5083780804601953
b512,0.5118315541477854
b833,0.5168381755789954
b2530,0.5168727557988954
b2652,0.5549026521844954
b2989,0.5653455614984955
b3080,0.5901585036697954
b3217,0.6007583960938954
