Bus,busdistances
sourcebus,0.0
b342,0.0001
b1556,0.000355937544601
b1298,0.001355937544601
b1214,0.0016005667197109999
b2077,0.0018068686349469998
b943,0.001921438804134
b248,0.0019290289018099999
b1653,0.0021336278208589996
b1709,0.002806868634947
b759,0.0028816422028954
b2761,0.002921438804134
b1802,0.00292902890181
b2985,0.0029962123720824
b3097,0.0030038024697584
b2869,0.0031336278208589996
b892,0.0032084013888073995
b334,0.0038816422028954
b1444,0.0042084013888074
b2977,0.0249165470121
b2430,0.0290510208383954
b534,0.0390316655389654
b162,0.0395579143599954
b607,0.06743695727249541
b416,0.0674666064939074
b787,0.0775364571476074
b1378,0.0776670985384954
b1557,0.07769285768209541
b2316,0.09778611585339539
b114,0.1045174461453954
b1261,0.1061286301305074
b1925,0.11348605861319538
b2390,0.1141159442893954
b1547,0.1158537059348954
b2547,0.1160615485574574
b1873,0.1162204139944074
b1491,0.1184220916330074
b1224,0.11904763599249539
b2757,0.12172448400789539
b1237,0.1244133158099954
b1988,0.1277081523595274
b840,0.1287449028794074
b3376,0.1403668820291954
b1211,0.1416962582212954
b2844,0.1432359637695074
b381,0.14475368468930738
b2768,0.1493077519172954
b1134,0.15317823347249537
b89,0.1547060527155374
b288,0.1559980045898074
b1369,0.15702710067950737
b1801,0.1592459304128554
b2011,0.1593665016279954
b2891,0.1595421264426954
b270,0.1652582910226354
b1097,0.16533967669799998
b1746,0.16539554659260738
b2901,0.1661756031693074
b754,0.16643171604449541
b1326,0.1665120593210954
b1407,0.16677914728213736
b3385,0.16697960106416737
b1077,0.1699802630080954
b94,0.1705826876004954
b3178,0.1716798666519074
b1824,0.1766562857726954
b1872,0.1769292112253954
b2399,0.1771544598379274
b2349,0.1829818901109074
b435,0.1857467621784954
b1505,0.1911516096833074
b1226,0.1915491115730954
b1667,0.19235677891069541
b286,0.19300287218460738
b3021,0.19425824677800738
b1464,0.1943966530655074
b1854,0.19857722920716542
b1643,0.19900167051069542
b2364,0.19965998470663737
b3112,0.2016322227510954
b2003,0.20409782602173737
b1095,0.20428875812760738
b1085,0.20456384549080742
b2723,0.2045729935299074
b2582,0.2072265054973654
b312,0.20798761459219542
b2308,0.21081381588680742
b553,0.2121672552602954
b2333,0.21264314851849542
b404,0.21642169897765742
b30,0.2179438623766954
b2209,0.2183795349840954
b625,0.21965974029229543
b1096,0.2214232096533954
b1890,0.22184039331040742
b241,0.2222232096533954
b528,0.2223513695929074
b1091,0.23154162863520739
b1772,0.2328990450317074
b1130,0.2335847325966954
b1155,0.2383439858421954
b2764,0.2409939333970554
b1200,0.2415225723035974
b1628,0.2416458292538074
b1665,0.2425323962938954
b792,0.2430795771788074
b257,0.24310612326611541
b1544,0.2434150535580074
b508,0.24377926989430743
b912,0.24439818174170738
b1023,0.2458318348267954
b1501,0.2464777826587954
b790,0.2472777826587954
b2738,0.25139826822168543
b1666,0.2528865559448954
b1842,0.2532639763081954
b2397,0.25408147883251736
b1591,0.2565510283521954
b298,0.2567054161659954
b466,0.2567343190841954
b1139,0.2568358579484074
b1017,0.2570208792767954
b807,0.2572061224973074
b3200,0.2637520347753954
b247,0.26685896320990743
b2786,0.2684908316715954
b2228,0.27043382405854743
b2015,0.27357247809537744
b1015,0.2784806467337554
b1475,0.2787807174763954
b1759,0.28030918623510737
b496,0.28200253083799537
b2195,0.28287124431209537
b1098,0.28531502242500745
b3362,0.28974243789493737
b695,0.29008608369420735
b3143,0.2904791337972074
b1423,0.29226799334749537
b3024,0.29270823534490736
b1723,0.29290924825189535
b335,0.29309336142459536
b773,0.2941467827370954
b364,0.2946231851083954
b2837,0.2991483091357074
b2006,0.2997801861532074
b2647,0.3036625155935074
