Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 0, 1,     230.94,    0.0,         0, 2,     230.94, -120.0,         0, 3,     230.94,  120.0,         0, 0, 0, 0, 0
"B310", 0, 1,    194.148,   -1.6,         0, 2,    201.976, -120.5,         0, 3,    193.663,  118.4,         0, 4,    3.98068,   51.7,         0
"B2018", 0, 1,    194.148,   -1.6,         0, 2,    201.976, -120.5,         0, 3,    193.663,  118.4,         0, 4,    3.98068,   51.7,         0
"B2390", 0, 1,    196.367,   -1.1,         0, 2,    203.352, -120.4,         0, 3,    196.531,  118.9,         0, 4,    3.46738,   49.0,         0
"B1667", 0, 1,    193.471,   -1.6,         0, 2,    201.147, -120.7,         0, 3,    194.078,  118.5,         0, 4,    3.42692,   33.6,         0
"B1759", 0, 1,    219.534,   -0.9,         0, 2,    218.618, -122.7,         0, 3,    227.246,  119.7,         0, 4,    7.26021, -113.5,         0
"B2837", 0, 1,    219.534,   -0.9,         0, 2,    218.618, -122.7,         0, 3,    227.246,  119.7,         0, 4,    7.26021, -113.5,         0
"B1164", 0, 1,    218.646,   -0.9,         0, 2,    216.189, -123.2,         0, 3,    227.533,  119.7,         0, 4,    9.50201, -111.4,         0
"B58", 0, 1,    218.629,   -0.9,         0, 2,    215.504, -123.3,         0, 3,    227.548,  119.7,         0, 4,    10.1488, -112.0,         0
"B695", 0, 1,    219.526,   -0.9,         0, 2,    218.615, -122.7,         0, 3,    227.007,  119.7,         0, 4,    7.11601, -115.1,         0
"B1369", 0, 1,    221.781,   -0.9,         0, 2,    223.704, -121.5,         0, 3,    227.579,  119.7,         0, 4,    3.21238, -107.0,         0
"B3021", 0, 1,    220.982,   -1.0,         0, 2,    222.076, -121.9,         0, 3,    227.372,  119.7,         0, 4,    4.40167, -111.6,         0
"B2510", 0, 1,    194.284,   -1.5,         0, 2,     201.67, -120.5,         0, 3,    193.798,  118.4,         0, 4,     3.5681,   49.7,         0
"B314", 0, 1,    194.282,   -1.5,         0, 2,    201.971, -120.5,         0, 3,      193.8,  118.4,         0, 4,    3.86721,   50.9,         0
"B1790", 0, 1,    199.222,   -3.2,         0, 2,     218.72, -121.2,         0, 3,     213.95,  119.4,         0, 4,    8.39397,  -20.9,         0
"B1053", 0, 1,    199.225,   -3.2,         0, 2,    218.996, -121.2,         0, 3,    213.954,  119.4,         0, 4,    8.44806,  -18.9,         0
"B2316", 0, 1,    197.244,   -0.9,         0, 2,    203.957, -120.4,         0, 3,    197.392,  119.1,         0, 4,    3.42362,   51.5,         0
"B2757", 0, 1,    197.244,   -0.9,         0, 2,    203.957, -120.4,         0, 3,    197.392,  119.1,         0, 4,    3.42362,   51.5,         0
"B1224", 0, 1,    197.244,   -0.9,         0, 2,    203.957, -120.4,         0, 3,    197.392,  119.1,         0, 4,    3.42362,   51.5,         0
"B926", 0, 1,    218.431,   -0.9,         0, 2,    215.954, -123.3,         0, 3,    227.518,  119.7,         0, 4,    9.61748, -111.7,         0
"B3111", 0, 1,    219.091,   -0.9,         0, 2,    217.117, -123.0,         0, 3,    227.448,  119.7,         0, 4,    8.72233, -111.6,         0
"B1956", 0, 1,    219.091,   -0.9,         0, 2,    217.117, -123.0,         0, 3,    227.448,  119.7,         0, 4,    8.72233, -111.6,         0
"B1854", 0, 1,    193.471,   -1.6,         0, 2,    201.147, -120.7,         0, 3,    194.078,  118.5,         0, 4,    3.42692,   33.6,         0
"B2764", 0, 1,    191.861,   -1.9,         0, 2,    199.968, -120.9,         0, 3,    192.785,  118.3,         0, 4,    3.55659,   24.4,         0
"B1130", 0, 1,    192.087,   -1.9,         0, 2,    199.964, -120.9,         0, 3,    192.784,  118.3,         0, 4,    3.35183,   25.9,         0
"B1407", 0, 1,    221.526,   -1.0,         0, 2,    223.708, -121.5,         0, 3,    227.584,  119.7,         0, 4,      3.125, -102.8,         0
"B2547", 0, 1,    223.043,   -0.9,         0, 2,    225.892, -121.1,         0, 3,    227.798,  119.7,         0, 4,    1.88252,  -94.1,         0
"B1261", 0, 1,      223.3,   -0.9,         0, 2,    225.888, -121.1,         0, 3,    227.794,  119.7,         0, 4,    1.93771, -101.6,         0
"B1464", 0, 1,    204.126,   -2.1,         0, 2,    220.053, -120.9,         0, 3,    216.316,  119.5,         0, 4,     6.6062,   -9.2,         0
"B2799", 0, 1,    204.126,   -2.1,         0, 2,    220.053, -120.9,         0, 3,    216.316,  119.5,         0, 4,     6.6062,   -9.2,         0
"B810", 0, 1,    218.639,   -0.9,         0, 2,    215.898, -123.3,         0, 3,    227.539,  119.7,         0, 4,    9.77721, -111.7,         0
"B3112", 0, 1,    195.196,   -1.3,         0, 2,    202.551, -120.5,         0, 3,    194.807,  118.6,         0, 4,    3.65288,   53.0,         0
"B1665", 0, 1,    194.802,   -1.4,         0, 2,    202.195, -120.5,         0, 3,    194.359,  118.5,         0, 4,    3.64446,   50.6,         0
"B2011", 0, 1,     195.62,   -1.2,         0, 2,     202.95, -120.4,         0, 3,    195.567,  118.7,         0, 4,    3.69415,   51.0,         0
"B938", 0, 1,    198.949,   -3.3,         0, 2,    219.072, -121.2,         0, 3,    213.801,  119.4,         0, 4,    8.47396,  -17.9,         0
"B2955", 0, 1,    198.866,   -3.3,         0, 2,    219.095, -121.2,         0, 3,    213.682,  119.4,         0, 4,    8.39866,  -17.6,         0
"B1085", 0, 1,    203.827,   -2.1,         0, 2,    220.062, -120.9,         0, 3,    216.316,  119.5,         0, 4,    6.88836,   -8.7,         0
"B1666", 0, 1,    194.804,   -1.4,         0, 2,    201.905, -120.5,         0, 3,    194.356,  118.5,         0, 4,    3.35651,   49.4,         0
"B807", 0, 1,    201.752,   -2.2,         0, 2,    220.128, -120.9,         0, 3,    215.431,  119.4,         0, 4,    8.25838,   -2.2,         0
"B2308", 0, 1,    203.136,   -2.2,         0, 2,    220.086, -120.9,         0, 3,    215.436,  119.4,         0, 4,    6.93373,   -2.8,         0
"B2430", 0, 1,     229.03,   -0.3,         0, 2,    229.405, -120.2,         0, 3,    228.852,  119.7,         0, 4,   0.102749, -137.0,         0
"B607", 0, 1,    228.729,   -0.3,         0, 2,    228.853, -120.2,         0, 3,    228.033,  119.6,         0, 4,   0.630936,  170.2,         0
"B951", 0, 1,    189.897,   -2.5,         0, 2,     197.82, -121.3,         0, 3,    190.213,  117.8,         0, 4,    2.63703,    8.2,         0
"B1834", 0, 1,    189.758,   -2.6,         0, 2,    197.695, -121.4,         0, 3,    190.099,  117.7,         0, 4,    2.65755,    6.2,         0
"B1214", 0, 1,    230.763,    0.0,         0, 2,    230.841, -120.0,         0, 3,    230.828,  120.0,         0, 4,  0.0338835,  -94.8,         0
"B2077", 0, 1,    230.754,    0.0,         0, 2,    230.834, -120.0,         0, 3,    230.818,  120.0,         0, 4,  0.0351306,  -95.1,         0
"B335", 0, 1,    191.155,   -2.1,         0, 2,    197.918, -121.0,         0, 3,    191.803,  118.2,         0, 4,    2.49082,    1.3,         0
"B2195", 0, 1,    191.155,   -2.1,         0, 2,    198.212, -121.0,         0, 3,    191.805,  118.2,         0, 4,    2.64633,    7.1,         0
"B114", 0, 1,     228.45,   -0.4,         0, 2,    228.439, -120.3,         0, 3,    227.343,  119.5,         0, 4,    1.11158,  162.5,         0
"B2209", 0, 1,     192.68,   -1.6,         0, 2,    201.162, -120.7,         0, 3,     194.08,  118.5,         0, 4,    4.11002,   27.7,         0
"B1590", 0, 1,    198.838,   -3.3,         0, 2,    219.104, -121.2,         0, 3,    213.058,  119.4,         0, 4,    7.85969,  -15.5,         0
"B1119", 0, 1,    198.847,   -3.3,         0, 2,      219.1, -121.2,         0, 3,    213.556,  119.4,         0, 4,    8.26871,  -17.6,         0
"B2372", 0, 1,    190.634,   -2.3,         0, 2,    198.537, -121.1,         0, 3,    191.128,  118.0,         0, 4,    2.94577,   15.6,         0
"B337", 0, 1,     190.21,   -2.4,         0, 2,    198.172, -121.2,         0, 3,    190.547,  117.8,         0, 4,    2.69455,   14.2,         0
"B1015", 0, 1,    190.849,   -2.1,         0, 2,    199.047, -121.0,         0, 3,    191.811,  118.2,         0, 4,    3.48608,   18.2,         0
"B2786", 0, 1,    191.155,   -2.1,         0, 2,    199.041, -121.0,         0, 3,    191.809,  118.2,         0, 4,    3.19699,   19.8,         0
"B1630", 0, 1,     190.21,   -2.4,         0, 2,    198.172, -121.2,         0, 3,    190.547,  117.8,         0, 4,    2.69455,   14.2,         0
"B3236", 0, 1,    219.132,   -0.9,         0, 2,    217.347, -123.0,         0, 3,    227.411,  119.7,         0, 4,    8.47676, -112.0,         0
"B941", 0, 1,    189.758,   -2.6,         0, 2,    197.408, -121.4,         0, 3,    190.098,  117.7,         0, 4,    2.50812,    0.6,         0
"B1096", 0, 1,    193.471,   -1.6,         0, 2,    201.147, -120.7,         0, 3,    194.078,  118.5,         0, 4,    3.42692,   33.6,         0
"B1155", 0, 1,    193.471,   -1.6,         0, 2,    201.147, -120.7,         0, 3,    194.078,  118.5,         0, 4,    3.42692,   33.6,         0
"B496", 0, 1,    194.537,   -1.5,         0, 2,     202.07, -120.5,         0, 3,    193.941,  118.5,         0, 4,     3.7393,   52.8,         0
"B2872", 0, 1,    190.635,   -2.3,         0, 2,    198.244, -121.1,         0, 3,    191.126,  118.0,         0, 4,    2.75216,   11.0,         0
"B1362", 0, 1,    192.584,   -1.5,         0, 2,    202.239, -120.5,         0, 3,     194.36,  118.5,         0, 4,    5.33186,   32.1,         0
"B162", 0, 1,     229.03,   -0.3,         0, 2,     229.14, -120.2,         0, 3,    228.852,  119.7,         0, 4,   0.362613, -121.1,         0
"B237", 0, 1,    218.424,   -0.9,         0, 2,    215.661, -123.3,         0, 3,    227.524,  119.7,         0, 4,    9.89518, -111.9,         0
"B2333", 0, 1,    195.194,   -1.3,         0, 2,    202.547, -120.5,         0, 3,    194.475,  118.6,         0, 4,    3.76787,   57.7,         0
"B342", 0, 1,    230.929,    0.0,         0, 2,    230.934, -120.0,         0, 3,    230.933,  120.0,         0, 4, 0.00221493,  -88.2,         0
