Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 0, 1,     230.94,    0.0,         0, 2,     230.94, -120.0,         0, 3,     230.94,  120.0,         0, 0, 0, 0, 0
"B1", 0, 1,    230.939,    0.0,         0, 2,     230.94, -120.0,         0, 3,     230.94,  120.0,         0, 4, 0.000694344,   16.9,         0
"B2", 0, 1,     227.35,    0.0,         0, 2,    231.375, -120.0,         0, 3,     231.18,  119.9,         0, 4,    3.59039,    0.9,         0
